StateID,BirthYear,PayrollType,PayrollFrequency,NetIncome,GrossIncome,LeadProvider,RequestedAmount,BankAccountType,SubAffiliateId,LeadCost,percentProfit
MA,1959,Direct Deposit,Weekly,1600,0,Dot 818 $5,500,Checking,,5,1.4258
NH,1983,Direct Deposit,Bi-Weekly,6500,0,Dot 818 $5,500,Checking,,5,-1.013333333
NH,1981,Direct Deposit,Weekly,3500,0,Leads Market $5,2124,Checking,,5,0.980808045
NH,1982,Direct Deposit,Weekly,3761,0,Leads Market $5,600,Checking,,0,1.639166667
NC,1981,Direct Deposit,Bi-Weekly,3500,0,SPRG.com,800,Checking,Other,0,2.497485714
NH,1994,Direct Deposit,Weekly,2180,0,SPRG.com,1285,Checking,Other,0,0.034524064
NH,1996,Direct Deposit,Bi-Weekly,1500,0,Leads Market $5,800,Checking,,5,2.62592
NH,1998,Paper Check,Weekly,1959,1800,SPRG.com,800,Checking,Other,0,1.69344
NH,1991,Direct Deposit,Weekly,1950,2000,SPRG.com,700,Checking,Car repair,0,1.502933333
MA,1990,Direct Deposit,Weekly,3200,0,PW Other Sites $15,300,Checking,,0,-1.175
MA,1972,Direct Deposit,Bi-Weekly,6500,0,Dot 818 $5,500,Checking,,5,1.3913
MA,1967,Direct Deposit,Bi-Weekly,5000,0,Dot 818 $5,500,Checking,,5,-1.041666667
NH,1965,Direct Deposit,Bi-Weekly,4900,0,Leads Market $5,600,Checking,,0,2.322666667
GA,1976,Direct Deposit,Weekly,2604,0,Leads Market $5,500,Checking,,0,0.57252
MA,1972,Direct Deposit,Weekly,2976,0,PW Other Sites $15,500,Checking,,15,-1.1817
NH,1971,Direct Deposit,Weekly,3000,0,Dot 818 $5,600,Checking,,5,-0.600655333
NH,1985,Direct Deposit,Bi-Weekly,3500,0,Dot 818 $5,800,Checking,,5,-0.4028
GA,1989,Direct Deposit,Semi-Monthly,5000,0,Lead Toro $5,640,Checking,,0,1.241984375
ME,1989,Direct Deposit,Bi-Weekly,2817,0,SPRG.com,800,Checking,Other,0,2.552266667
NH,1989,Direct Deposit,Weekly,2000,0,Lead Toro $5,350,Checking,,0,1.607057143
MA,1991,Direct Deposit,Weekly,3360,0,Dot 818 $5,500,Checking,,5,-0.8413
NH,1993,Direct Deposit,Bi-Weekly,3000,0,Dot 818 $5,500,Checking,,5,2.7545
NH,1975,Direct Deposit,Bi-Weekly,3250,3009,SPRG.com,400,Checking,,0,1.4688
MA,1964,Direct Deposit,Weekly,4500,0,Loan Transfer,550,Checking,,0,1.569418182
NH,1964,Direct Deposit,Weekly,3774,0,SPRG.com,600,Checking,Other,0,1.5256
MA,1982,Direct Deposit,Bi-Weekly,5000,0,Dot 818 $5,800,Checking,,5,1.739675
NH,1991,Direct Deposit,Bi-Weekly,3500,0,Dot 818 $5,500,Checking,,5,-1.142857143
NH,1992,Direct Deposit,Weekly,3000,0,Dot 818 $5,500,Checking,,5,0.39275
NH,1997,Direct Deposit,Weekly,4500,0,Dot 818 $5,500,Checking,,5,1.0004
ME,1971,Direct Deposit,Bi-Weekly,4000,0,SPRG.com,300,Checking,Car repair,0,1.051933333
ME,1955,Direct Deposit,Weekly,5500,0,Leads Market $5,1015,Checking,,0,1.441103448
NH,1972,Direct Deposit,Bi-Weekly,3001,0,Leads Market $5,300,Checking,,0,0.241666667
ME,1965,Direct Deposit,Bi-Weekly,5000,0,Leads Market $5,500,Checking,,5,1.68242
ME,1982,Direct Deposit,Weekly,2500,0,Dot 818 $5,300,Checking,,5,-0.898366667
ME,1983,Direct Deposit,Weekly,2000,0,Dot 818 $5,300,Checking,,5,0.3714
IL,1984,Direct Deposit,Weekly,4940,5500,SPRG.com,800,Checking,Other,0,-0.831714286
MA,1986,Direct Deposit,Weekly,6000,0,Lead Toro $5,550,Checking,,0,-0.5708
ME,1997,Direct Deposit,Weekly,2000,0,Lead Toro $5,500,Checking,,5,-0.5451
ME,1959,Direct Deposit,Weekly,4000,0,Dot 818 $5,900,Checking,,0,1.370233333
MA,1968,Direct Deposit,Weekly,1500,0,Money Mutual $20,500,Checking,,20,1.61344
NC,1980,Direct Deposit,Bi-Weekly,6500,0,Dot 818 $5,300,Checking,,0,1.770375
NH,1973,Direct Deposit,Bi-Weekly,5000,0,SPRG.com,1155,Checking,Day to day expenses,0,1.141701863
NC,1984,Direct Deposit,Weekly,1777,2200,SPRG.com,500,Checking,Other,0,0.853018182
FL,1988,Direct Deposit,Bi-Weekly,3500,0,Dot 818 $15,500,Checking,,15,-0.439825
MA,1965,Direct Deposit,Weekly,3328,0,SPRG.com,800,Checking,Other,0,0.881369231
ME,1982,Direct Deposit,Bi-Weekly,2500,0,Dot 818 $5,600,Checking,,5,2.208885714
ME,1980,Direct Deposit,Bi-Weekly,3500,0,Leads Market $5,400,Saving,,5,1.1488
ME,1994,Direct Deposit,Weekly,2032,0,Leads Market $5,1240,Checking,,5,0.373162162
ME,1993,Direct Deposit,Weekly,2200,0,Dot 818 $5,1050,Checking,,5,0.541738462
ME,1965,Direct Deposit,Weekly,4500,0,Leads Market $5,800,Checking,,5,1.39056
MA,1975,Direct Deposit,Bi-Weekly,3600,0,Loan Transfer,60,Checking,,0,0.2005
ME,1964,Direct Deposit,Bi-Weekly,4500,0,Leads Market $5,400,Checking,,5,0.440967
FL,1977,Direct Deposit,Bi-Weekly,6500,0,Dot 818 $15,500,Checking,,15,-3.35
ME,1971,Direct Deposit,Weekly,1600,0,Leads Market $5,500,Checking,,5,-0.029088667
ME,1966,Direct Deposit,Bi-Weekly,2500,0,Leads Market $5,350,Checking,,0,-0.3078132
ME,1986,Direct Deposit,Weekly,2500,0,Lead Toro $5,500,Checking,,5,0.3397
ME,1988,Direct Deposit,Bi-Weekly,2500,0,Leads Market $5,800,Checking,,5,1.1477
ME,1988,Direct Deposit,Weekly,3500,0,Dot 818 $5,500,Checking,,5,-0.1835
ME,1990,Direct Deposit,Bi-Weekly,1210,0,SPRG.com,400,Checking,,0,2.497485714
ME,1994,Direct Deposit,Weekly,1500,0,Lead Toro $5,700,Checking,,5,-0.19032
MA,1973,Direct Deposit,Bi-Weekly,12350,0,SPRG.com,800,Checking,Other,0,2.280816667
MA,1982,Direct Deposit,Bi-Weekly,2167,0,SPRG.com,800,Checking,Other,0,-0.0742
MA,1986,Direct Deposit,Weekly,3000,0,Dot 818 $5,500,Checking,,5,0.329733333
RI,1987,Direct Deposit,Weekly,3000,0,Dot 818 $5,200,Checking,,0,0.0031
MA,1974,Direct Deposit,Weekly,2000,0,PW Other Sites $15,500,Checking,,15,-0.9067
